Positive,Negative,Neutral,Compound,Sentiment_Label
0.076,0.059,0.864,-0.2493,Negative
0.0,0.0,1.0,0.0,Neutral
0.046,0.15,0.804,0.987,Positive
0.181,0.107,0.712,-0.9759,Negative
0.171,0.26,0.569,0.6124,Positive
0.077,0.269,0.653,0.9649,Positive
0.217,0.191,0.592,-0.8362,Negative
0.093,0.165,0.742,0.3818,Positive
0.0,0.0,1.0,0.0,Neutral
0.432,0.0,0.568,-0.5859,Negative
0.0,0.18,0.82,0.8151,Positive
0.0,0.0,1.0,0.0,Neutral
0.144,0.109,0.747,-0.1522,Negative
0.087,0.183,0.73,0.8523,Positive
0.101,0.257,0.642,0.4019,Positive
0.303,0.122,0.576,-0.9885,Negative
0.255,0.04,0.706,-0.989,Negative
0.0,0.42,0.58,0.4404,Positive
0.188,0.145,0.667,-0.8338,Negative
0.157,0.102,0.741,-0.1931,Negative
0.024,0.074,0.902,0.8848,Positive
0.092,0.23,0.677,0.9945,Positive
0.0,0.0,1.0,0.0,Neutral
0.088,0.224,0.688,0.986,Positive
0.148,0.077,0.775,-0.9323,Negative
0.038,0.106,0.855,0.9073,Positive
0.077,0.114,0.809,0.7263,Positive
0.113,0.283,0.604,0.9421,Positive
0.08,0.063,0.857,-0.2919,Negative
0.119,0.272,0.609,0.9976,Positive
0.245,0.09,0.666,-0.9801,Negative
0.188,0.088,0.724,-0.927,Negative
0.192,0.053,0.755,-0.8702,Negative
0.24,0.116,0.644,-0.9985,Negative
0.169,0.214,0.617,0.8737,Positive
0.146,0.136,0.718,0.1763,Positive
0.055,0.0,0.945,-0.3094,Negative
0.074,0.12,0.806,0.1618,Positive
0.213,0.09,0.697,-0.9951,Negative
0.113,0.161,0.726,0.8536,Positive
0.144,0.319,0.537,0.8472,Positive
0.134,0.217,0.649,0.264,Positive
0.064,0.258,0.678,0.9984,Positive
0.104,0.043,0.852,-0.6016,Negative
0.567,0.0,0.433,-0.7618,Negative
0.155,0.078,0.767,-0.8202,Negative
0.162,0.141,0.698,-0.9075,Negative
0.079,0.208,0.713,0.9898,Positive
0.276,0.201,0.522,-0.25,Negative
0.028,0.323,0.649,0.9686,Positive
0.0,0.0,1.0,0.0,Neutral
0.049,0.116,0.835,0.9432,Positive
0.159,0.192,0.649,0.5452,Positive
0.127,0.193,0.68,0.6412,Positive
0.072,0.191,0.737,0.8807,Positive
0.078,0.214,0.709,0.9261,Positive
0.14,0.143,0.717,0.1313,Positive
0.0,0.0,1.0,0.0,Neutral
0.107,0.043,0.851,-0.9638,Negative
0.09,0.072,0.838,-0.1531,Negative
0.204,0.025,0.771,-0.9325,Negative
0.032,0.131,0.837,0.9306,Positive
0.0,0.236,0.764,0.982,Positive
0.094,0.191,0.715,0.9995,Positive
0.108,0.069,0.823,-0.7251,Negative
0.052,0.076,0.871,0.2718,Positive
0.049,0.205,0.746,0.8707,Positive
0.102,0.105,0.793,0.4037,Positive
0.0,0.0,1.0,0.0,Neutral
0.0,0.323,0.677,0.8225,Positive
0.138,0.101,0.761,-0.6432,Negative
0.215,0.049,0.736,-0.8442,Negative
0.122,0.059,0.819,-0.7003,Negative
0.104,0.043,0.852,-0.6016,Negative
0.042,0.154,0.804,0.8585,Positive
0.269,0.0,0.731,-0.7184,Negative
0.149,0.075,0.776,-0.5107,Negative
0.153,0.158,0.689,0.5896,Positive
0.113,0.159,0.728,0.4588,Positive
0.22,0.046,0.734,-0.9382,Negative
0.0,0.429,0.571,0.7184,Positive
